상품명,권장 연령,권장 사이즈,사료 종류,사료 형태,주 단백질원,알갱이 크기,제조국,원산지,조단백,조지방,조섬유,조회분,수분,칼슘,인,오메가3,오메가6,기타 영양소,주성분
ANF 더블미트 소고기 포 독,전연령,ALL,주식,건식,,0.8Cm,호주,호주,30%,12%,8%,10%,11%,1%,0.4%,0%,0%,,"['동물성단백질(소고기)', '연어분(9%)', '동물성단백질(메기어분)', '마이즈글루텐', '쌀', '정제계유', '천연향미제', '유기농 현미', '유기농 귀리', '유기농 해바라기박', '유기농 보리', '유기농 쌀', '비트펄프', '유기농 참깨박', '유기농 아마씨', '셀룰로스', '천연 맛', '유기농 해바라기씨', '탄산칼슘', '인산칼슘', '유기농 녹두', '유기농 메밀', '유기농 고구마', 'L-라이신', 'DL-메치오닌', '소금', '유기농 당근', '유기농 호박씨', '유카추출물', '비타민 프리믹스', '미네랄 프리믹스', '유기농 호박씨', '맥반석', '이눌린', '로즈마리 추출물', '비타민C(*유기농 함량 18.12%)']"
K9 내추럴 독 소고기,전연령,All,주식,건식,,3.5Cm,뉴질랜드,뉴질랜드,29%,37%,3%,10%,8%,1.5%,0.5%,0%,0%,,"['소고기', '소의 피', '소의 뼈', '소의 내장', '소의 간', '브로콜리', '콜리플라워', '당근', '시금치', '양배추', '사과', '배', '소의 심장', '소의 신장', '계란', '뉴질랜드 녹색입홍합', '마늘']"
K9 내추럴 독 양고기,전연령,All,주식,건식,,3.5Cm,뉴질랜드,뉴질랜드,23%,38%,4%,10%,8%,1.3%,0.5%,0%,0%,,"['양고기', '양의 피', '양의 뼈', '양의 내장', '양의 간', '브로콜리', '콜리플라워', '당근', '시금치', '양배추', '사과', '배', '계란', '녹색홍합', '마늘']"
K9내추럴 독 양고기 그린트라이프캔,전연령,All,주식,습식,,,뉴질랜드,뉴질랜드,10%,4%,0.5%,3%,80%,0.2%,0.1%,0%,0%,,"['양의 내장', '탄산 칼슘', '베타 카로틴', '비타민 D', '비타민 E', '아연', '철', '구리', '망간', '티아민', '엽산', '셀레늄']"
K9내추럴 독 양고기 피스트캔,전연령,All,주식,습식,,,뉴질랜드,뉴질랜드,9%,10%,1%,3%,78%,0.2%,0.1%,0%,0%,,"['양고기', '양의 뼈', '양의 내장', '양의 피', '양의 심장', '양의 간', '양의 신장', '계란', '아마씨', '양배추', '브로콜리', '근대', '당근', '콜리플라워', '사과', '배', '녹색 입 홍합', '해바라기 오일', '브라운 다시마', '탄산 칼슘', '베타 카로틴', '비타민 D', '비타민 E', '아연', '철', '구리', '망간', '티아민', '엽산', '셀레늄']"
K9내추럴 독 소고기 피스트캔,전연령,All,주식,습식,,,뉴질랜드,뉴질랜드,8%,10%,1%,3%,78%,0.3%,0.1%,0%,0%,,"['소고기', '소의 뼈', '소의 내장', '소의 피', '소의 심장', '소의 간', '소의 신장', '계란', '아마씨', '양배추', '브로콜리', '근대', '당근', '콜리플라워', '사과', '배', '녹색 입 홍합', '해바라기 오일', '브라운 다시마', '탄산 칼슘', '베타 카로틴', '비타민 D', '비타민 E', '아연', '철', '구리', '망간', '티아민', '엽산', '셀레늄']"
K9내추럴 독 닭고기 피스트캔,전연령,All,주식,습식,,,뉴질랜드,뉴질랜드,7%,7%,0.5%,2.5%,83%,0.4%,0.1%,0%,0%,,"['닭고기', '양의 내장', '계란', '아마씨', '양배추', '브로콜리', '근대', '당근', '콜리플라워', '사과', '배', '녹색 입 홍합', '브라운 다시마', '탄산 칼슘', '베타 카로틴', '비타민 D', '비타민 E', '아연', '철', '구리', '망간', '티아민', '엽산', '셀레늄']"
NEWRX 미니멀 대구+귀리,전연령,ALL,주식,건식,,,대한민국,대한민국,24%,14%,6%,8%,0%,0.9%,0.4%,0%,0%,,"['뼈를 발라낸 대구 순살코기(75%)', '유기농귀리', '유기농 닭기름', 'L-라이신', '유기농천연향미제', '올리고당', '인산칼슘', '천일염', '타우린', '천연 맛', '유카시디게라추출물', '락토 바실러스', '비타민합제', '미네랄합제']"
뉴트리나 건강백서 프로페셔널 퍼피,퍼피,ALL,주식,건식,,,한국,미국,35%,18%,5%,10%,12%,1%,0.8%,0%,0%, DHA (148 mg/kg) EPA (227 mg/kg) 비타민 E (500 IU/kg) 아연 (110 mg/kg),"['오리', '완두콩 단백', '닭기름', '고구마', '연어', '어분(흰살 생선)', '바나나', '가수분해닭', '코코넛', '사탕무박', '연어', '케롭', '호박', 'L-라이신', '이눌린(치커리뿌리 추출물)', '건조효모', 'DL-메치오닌', '미네랄 믹스(철, 구리, 아연, 망간, 코발트, 요오드, 셀레늄)', '비타민 E', '비타민 합제(비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '생균제', '유카추출물', '혼합토코페롤', '로즈마리 추출물']"
뉴트리나 건강백서 프로페셔널 어덜트 연어,어덜트,ALL,주식,건식,,,한국,미국,32%,16%,5%,10%,12%,1%,0.6%,0%,0%, DHA (199 mg/kg) EPA (315 mg/kg) 비타민 E (500 IU/kg) 아연 (105 mg/kg),"['연어', '완두콩 단백', '닭기름', '고구마', '연어', '어분(흰살 생선)', '바나나', '가수분해닭', '코코넛', '사탕무박', '연어', '케롭', '호박', 'L-라이신', '이눌린(치커리뿌리 추출물)', '건조효모', 'DL-메치오닌', '미네랄 믹스(철, 구리, 아연, 망간, 코발트, 요오드, 셀레늄)', '비타민 E', '비타민 합제(비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '생균제', '유카추출물', '혼합토코페롤', '로즈마리 추출물']"
뉴트리나 건강백서 프로페셔널 어덜트 오리,어덜트,ALL,주식,건식,,,한국,미국,33%,16%,5%,10%,12%,1%,0.6%,0%,0%, DHA (134 mg/kg) EPA (204 mg/kg) 비타민 E (500 IU/kg) 아연 (108 mg/kg),"['오리', '고구마', '완두콩 단백', '닭기름', '고구마', '연어', '어분(흰살 생선)', '바나나', '가수분해닭', '코코넛', '사탕무박', '연어', '케롭', '호박', 'L-라이신', '이눌린(치커리뿌리 추출물)', '건조효모', 'DL-메치오닌', '미네랄 믹스(철, 구리, 아연, 망간, 코발트, 요오드, 셀레늄)', '비타민 E', '비타민 합제 (비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '생균제', '유카 추출물', '혼합 토코페롤', '로즈마리 추출물']"
뉴트리나 건강백서 퓨어 6세,전연령,ALL,주식,건식,,0.9Cm,한국,미국,28%,14%,5%,10%,12%,1%,0.6%,0%,0%, DHA (0.06 %)이상 EPA (0.06 %)이상 비타민 E (500 IU/kg) 아연 (240 mg/kg) 글루코사민 (1000 mg/kg),"['오리', '감자', '닭기름', '고구마', '어분(흰살 생선)', '코코넛분', '캐롭', '완두단백', '가수분해 연어', 'L-라이신', '제일인산칼슘', '프락토 올리고당', '이눌린(치커리 뿌리 추출물)', '비타민 및 미네랄합제(철, 구리, 아연, 망간, 코발트, 요오드, 셀레늄, 비타민 A, 비타민 B12, 비오틴, 판토텐산, 엽산, 나이아신)', '건조 효모', '염화 칼륨', '유카추출물', '글루코사민', '혼합 토코페롤', '로즈마리 추출물']"
뉴트리나 건강백서 퓨어 관절,전연령,ALL,주식,건식,,0.9Cm,한국,미국,28%,15%,5.5%,10%,12%,1%,0.6%,0%,0%, DHA (0.15 %)이상 EPA (0.25 %)이상 비타민 E (500 IU/kg) 아연 (240 mg/kg) 글루코사민 (1000 mg/kg),"['연어', '어분(흰살 생선)', '고구마', '닭기름', '감자', '완두 단백', '바나나분', '코코넛분', '캐롭', '가수분해 연어', 'L-라이신', '이눌린(치커리 뿌리 추출물)', '비타민 및 미네랄합제(철, 구리, 아연, 망간, 코발트, 요오드, 셀레늄, 비타민 A, 비타민 B12, 비오틴, 판토텐산, 엽산, 나이아신)', '건조 효모', '콘드로이틴', '유카추출물', '인산칼슘', '글루코사민', '혼합토코페롤', '로즈마리추출물']"
뉴트리나 건강백서 퓨어 아침,전연령,ALL,주식,건식,,0.9Cm,한국,미국,33%,16%,5.5%,10%,12.6%,1%,0.6%,0%,0%, DHA (0.11 %)이상 EPA (0.13 %)이상 비타민 E (500 IU/kg) 아연 (300 mg/kg),"['오리', '감자', '닭기름', '고구마', '가수분해 연어', '바나나분', '코코넛분', '캐롭', '가수분해 닭', '완두 단백', '연어분', 'L-라이신', '생균제(프로바이오틱스)', '프락토올리고당', '이눌린(치커리 뿌리 추출물)', '건조 효모', '미네랄 믹스(철, 구리, 아연, 망간, 코발트, 요오드, 셀레늄)', '비타민 합제(비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '염화칼륨', '유카추출물', '블루베리', '토마토', '파슬리', '혼합토코페롤', '로즈마리추출물']"
뉴트리나 건강백서 퓨어 장,전연령,ALL,주식,건식,,0.9Cm,한국,미국,28%,13%,5%,10%,12%,1%,0.6%,0%,0%, DHA (0.06 %)이상 EPA (0.06 %)이상 비타민 E (500 IU/kg) 아연 (240 mg/kg),"['오리', '감자 전분', '닭기름', '어분(흰살 생선)', '바나나분', '고구마', '코코넛분', '캐롭', '완두 단백', '감자', '연어', 'L-라이신', '제일 인산 칼슘', '프로바이오틱스(락토바실러스)', '프락토 올리고당', '이눌린(치커리 뿌리 추출물)', '비타민 및 미네랄 합제(철, 구리, 아연, 망간, 코발트, 요오드, 셀레늄, 비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '건조 효모', '염화 칼륨', '블루베리', '토마토', '브로콜리', '유카추출물', '혼합 토코페롤', '로즈마리추출물']"
뉴트리나 건강백서 퓨어 저녁,전연령,ALL,주식,건식,,0.9Cm,한국,미국,28%,14%,5.5%,10%,12%,1%,0.6%,0%,0%, DHA (0.15 %)이상 EPA (0.25 %)이상 비타민 E (500 IU/kg) 아연 (240 mg/kg) 글루코사민 (1000 mg/kg),"['연어', '어분(흰살 생선)', '감자', '닭기름', '고구마', '완두 단백', '캐롭', '가수분해 연어', 'L-라이신', '건조 효모', '미네랄 믹스(철, 구리, 아연, 망간, 코발트, 요오드, 셀레늄)', '비타민 합제(비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '콘드로이틴', '글루코사민', '인산이수소칼슘', '유카추출물', '혼합 토코페롤', '로즈마리추출물']"
뉴트리나 건강백서 퓨어 피부,전연령,ALL,주식,건식,,0.9Cm,한국,미국,28%,15%,5%,10%,12%,1%,0.6%,0%,0%, DHA (0.15 %)이상 EPA (0.25 %)이상 비타민 E (500 IU/kg) 아연 (240 mg/kg),"['연어', '어분(흰살 생선)', '감자', '닭기름', '고구마', '완두 단백', '코코넛 분', '캐롭', '가수분해 연어', 'L-라이신', '이눌린(치커리뿌리추출물)', '비타민 및 미네랄 합제(철, 구리, 아연, 망간, 코발트, 요오드, 셀레늄 비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '건조 효모', '유카추출물', '혼합 토코페롤', '로즈마리추출물']"
뉴트리나 건강백서 건강한 피부,전연령,ALL,주식,건식,,0.6Cm,한국,미국,27%,15%,5%,9%,12%,1%,0.6%,0%,0%,,"['가수분해 연어', '쌀', '옥수수', '옥글루텐', '동물성 지방', '비트 펄프', '염화 칼륨', '토마토', '블루베리', '브로콜리', '파슬리', '비타민 E', '염화 콜린', '미네랄 믹스(아연단백질화합물, 철단백질화합물, 망간단백질화합물,구리단백질화합물,코발트단백질화합물,요오드화칼륨)', '비타민믹스(비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '유카 추출물', '등']"
뉴트리나 건강백서 건강한 장,전연령,ALL,주식,건식,,0.6Cm,한국,미국,27%,15%,5.5%,9%,12%,1%,0.6%,0%,0%,,"['흰살 생선', '쌀', '옥수수', '옥글루텐', '동물성 지방', '밀', '비트 펄프', '계육분', '치즈 파우더', '염화 칼륨', '토마토', '블루베리', '브로콜리', '파슬리', '비타민 E', '콜린 클로라이드', '미네랄류', '비타민믹스(비타민 A, D, K, B1, B2, B6, B12, 비오틴, 판토텐산 칼슘, 엽산, 니코틴산)', '유카 추출물', '등']"
뉴트리나 건강백서 건강한 관절,전연령,ALL,주식,건식,,0.6Cm,한국,미국,27%,15%,5%,9.5%,12%,1%,0.6%,0%,0%,,"['흰살 생선', '쌀', '옥글루텐', '옥수수', '밀', '동물성 지방', '치즈파우더', '비트 펄프', '염화 칼륨', '염화 콜린', '토마토', '블루베리', '브로콜리', '파슬리', '비타민 E', '미네랄류', '비타민믹스(비타민 A, D, K, B1, B2, B6, B12, 비오틴, 판토텐산 칼슘, 엽산, 니코틴산)', '글루코사민', '콘드로이친(상어연골추출분말)', '등']"
뉴트리나 건강백서 건강한 스트레스,전연령,ALL,주식,건식,,0.6Cm,한국,미국,27%,15%,5%,9%,12%,0.9%,0.6%,0%,0%,,"['흰살 생선', '쌀', '옥수수', '옥글루텐', '동물성 지방', '보리', '비트 펄프', '염화 칼륨', '콜린 클로라이드', '비타민 E', '비타민믹스(비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '미네랄믹스(철, 구리, 아연, 망간, 코발트, 요오드)', '유카추출물', '카모마일', '토마토', '블루베리', '브로콜리', '파슬리', '등']"
뉴트리나 건강백서 건강한 1세,전연령,ALL,주식,건식,,0.9Cm,한국,미국,28%,15%,6%,10%,12%,1.2%,1%,0%,0%,,"['계육분', '흰살 생선분', '쌀', '옥수수', '옥글루텐', '동물성 지방', '밀', '비트 펄프', '락토바실러스', '염화 칼륨', '유청 단백', '토마토', '블루베리', '브로콜리', '파슬리', '염화 콜린', '미네랄믹스(철, 구리, 아연, 망간, 코발트, 요오드)', '비타민믹스(비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '유카추출물', '로즈마리 오일', '타임 오일', '오레가노 오일', '등']"
뉴트리나 건강백서 건강한 6세+,전연령,ALL,주식,건식,,0.9Cm,한국,미국,27%,12%,5%,10%,12%,1%,0.6%,0%,0%,,"['가수분해 연어', '쌀', '옥수수', '옥글루텐', '동물성 지방', '비트 펄프', '염화 칼륨', '염화 콜린', '치즈 파우더', '유카 추출물', '비타민 E', '비타민 믹스(비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '미네랄믹스(철, 구리, 아연, 망간, 코발트, 요오드)', '글루코사민', '토마토', '브로콜리', '블루베리', '파슬리', '락토바실러스', '등']"
뉴트리나 건강백서 피부건강 기능성 오리고기,전연령,ALL,주식,습식,,,한국,미국,8.3%,6%,1%,3%,0%,0.5%,1%,0%,0%,,"['오리고기', '닭고기', '비타민과 미네랄', '야채믹스', '등']"
뉴트리나 건강백서 관절건강 기능성 닭고기,전연령,ALL,주식,습식,,,한국,미국,6.5%,3.5%,1%,4%,0%,0.4%,1%,0%,0%,,"['닭고기', '비타민과 미네랄', '야채믹스', '글루코사민HCL', '콘드로이친(상어연골추출물)', '등']"
뉴트리나 건강백서 양고기,전연령,ALL,주식,습식,,,한국,미국,8.3%,9%,1%,3%,0%,0.4%,1%,0%,0%,,"['양고기', '닭고기', '비타민과 미네랄', '야채믹스', '등']"
뉴트리나 건강백서 쇠고기,전연령,ALL,주식,습식,,,한국,미국,8.3%,4.6%,1%,3%,0%,0.4%,1%,0%,0%,,"['쇠고기', '비타민과 미네랄', '야채믹스', '등']"
뉴트리나 건강백서 닭고기,전연령,ALL,주식,습식,,,한국,미국,6.5%,3.5%,1%,4%,0%,0.4%,1%,0%,0%,,"['닭고기', '비타민과 미네랄', '야채믹스', '등']"
뉴트리나 건강백서 닭고기와 쇠고기,전연령,ALL,주식,습식,,,한국,미국,7%,4%,1%,4%,0%,0.4%,1%,0%,0%,,"['닭고기', '쇠고기', '비타민과 미네랄', '야채믹스', '등']"
뉴트리나 건강백서 시츄,전연령,ALL,주식,건식,,1.1Cm,한국,미국,27%,13%,5.5%,10%,12%,1%,0.6%,0%,0%,,"['가수분해 연어', '쌀', '옥수수', '옥글루텐', '동물성 지방', '비트 펄프', '염화 칼륨', '염화 콜린', '비타민 E', '비타민믹스(비타민 A, B12, 비오틴, 판토텐산, 엽산, 나이아신)', '미네랄믹스(철, 구리, 아연, 망간, 코발트, 요오드)', '글루코사민', '프로바이오틱스', '유카추출물', '등']"
